Date,SMS,Month,Year,Day,Amount,Type,Merchant,Category
2019-01-22 14:02:00,account *****535 has been created for you.,1,2019,22,,Other,,Other
2019-01-22 14:03:00,"dear customer, thank you for opening a new aed account with adib. your a/c number is: ****0535. for any assistance please call 600543216 or visit adib.ae.",1,2019,22,,Other,,Other
2019-01-22 15:29:00,"dear customer, thank you for requesting a new chequebook for your a/c no: ****0535.  your request will be fulfilled at the earliest. sincerely, adib",1,2019,22,,Other,the earliest,Other
2019-03-05 09:26:00,"dear customer, aed 25806.50 was credited to your account ****0535. your available account balance is aed 25806.50",3,2019,5,25806.5,Credit,,Other
2019-03-06 22:52:00,"dear customer, aed 12800.00 was debited from your account ****0535. your available account balance is aed 13006.50",3,2019,6,12800.0,Debit,,Other
2019-03-08 10:02:00,trx. of aed 50.00 on your a/c ****0535 at abu dhabi national oil abu dhabi ae. avl bal is aed 12956.50,3,2019,8,50.0,Other,abu dhabi national oil abu dhabi ae,Bills
2019-03-10 18:49:00,trx. of aed 78.75 on your a/c ****0535 at art house cafe abu dhabi ae. avl bal is aed 12877.75,3,2019,10,78.75,Other,art house cafe abu dhabi ae,Food
2019-03-10 20:49:00,"dear customer, atm cash withdrawal for aed 100.00 was debited from your account ****0535. your avl bal is aed 12777.75.",3,2019,10,100.0,Debit,,Other
2019-03-10 22:01:00,"dear customer, atm cash withdrawal for aed 12000.00 was debited from your account ****0535. your avl bal is aed 777.75.",3,2019,10,12000.0,Debit,,Other
2019-03-11 10:11:00,trx. of aed 40.00 on your a/c ****0535 at zomato order dubai ae. avl bal is aed 737.75,3,2019,11,40.0,Other,zomato order dubai ae,Food
2019-03-12 17:56:00,trx. of aed 50.00 on your a/c ****0535 at abu dhabi national oil abu dhabi ae. avl bal is aed 687.75,3,2019,12,50.0,Other,abu dhabi national oil abu dhabi ae,Bills
2019-03-13 18:11:00,trx. of aed 87.75 on your a/c ****0535 at flakes hub resturant abu dhabi ae. avl bal is aed 600.00,3,2019,13,87.75,Other,flakes hub resturant abu dhabi ae,Shopping
2019-03-13 22:30:00,trx. of aed 54.00 on your a/c ****0535 at breath cafe abu dhabi ae. avl bal is aed 546.00,3,2019,13,54.0,Other,breath cafe abu dhabi ae,Food
2019-03-14 14:23:00,trx. of aed 113.40 on your a/c ****0535 at art house cafe abu dhabi ae. avl bal is aed 432.60,3,2019,14,113.4,Other,art house cafe abu dhabi ae,Food
2019-03-18 17:41:00,trx. of aed 100.00 on your a/c ****0535 at abu dhabi national oil abu dhabi ae. avl bal is aed 332.60,3,2019,18,100.0,Other,abu dhabi national oil abu dhabi ae,Bills
2019-03-21 14:13:00,"dear customer, aed 310.00 was debited from your account ****0535. your available account balance is aed 22.60",3,2019,21,310.0,Debit,,Other
2019-03-26 08:14:00,"dear customer, aed 16000.00 was credited to your account ****0535. your available account balance is aed 16022.60",3,2019,26,16000.0,Credit,,Other
2019-03-26 10:02:00,"dear customer, aed 8000.00 was debited from your account ****0535. your available account balance is aed 8022.60",3,2019,26,8000.0,Debit,,Other
2019-03-27 13:56:00,trx. of aed 369.00 on your a/c ****0535 at www.groupon.ae groupon.ae ie. avl bal is aed 7653.60,3,2019,27,369.0,Other,www,Other
2019-03-31 15:33:00,"dear customer, aed 100.00 was debited from your account ****0535. your available account balance is aed 7553.60",3,2019,31,100.0,Debit,,Other
2019-04-01 13:51:00,"dear customer, aed 1200.00 was credited to your account ****0535. your available account balance is aed 8753.60",4,2019,1,1200.0,Credit,,Other
2019-04-05 19:49:00,trx. of aed 67.20 on your a/c ****0535 at gerard patisserie abu dhabi ae. avl bal is aed 8686.40,4,2019,5,67.2,Other,gerard patisserie abu dhabi ae,Shopping
2019-04-05 20:46:00,"dear customer, atm cash withdrawal for aed 3000.00 was debited from your account ****0535. your avl bal is aed 5686.40.",4,2019,5,3000.0,Debit,,Other
2019-04-08 11:07:00,"dear customer, aed 100.00 was debited from your account ****0535. your available account balance is aed 5585.40",4,2019,8,100.0,Debit,,Other
2019-04-08 21:09:00,trx. of aed 3.75 on your a/c ****0535 at adnoc mahawis/s917 abu dhabi ae. avl bal is aed 5581.65,4,2019,8,3.75,Other,adnoc mahawis,Bills
2019-04-09 11:19:00,trx. of aed 12.00 on your a/c ****0535 at mcdonalds-adnoc mushri dubai ae. avl bal is aed 5569.65,4,2019,9,12.0,Other,mcdonalds,Food
2019-04-09 11:22:00,trx. of aed 7.25 on your a/c ****0535 at mcdonalds-adnoc mushri dubai ae. avl bal is aed 5562.40,4,2019,9,7.25,Other,mcdonalds,Food
2019-04-09 14:24:00,trx. of aed 6.00 on your a/c ****0535 at mcdonalds-adnoc mushri dubai ae. avl bal is aed 5556.40,4,2019,9,6.0,Other,mcdonalds,Food
2019-04-09 17:30:00,trx. of aed 11.50 on your a/c ****0535 at al karam mobile phones abu dhabi ae. avl bal is aed 5544.90,4,2019,9,11.5,Other,al karam mobile phones abu dhabi ae,Shopping
2019-04-10 09:06:00,trx. of aed 120.75 on your a/c ****0535 at starbucks -d625 alshay abu dhabi ae. avl bal is aed 5424.15,4,2019,10,120.75,Other,starbucks,Food
